,horizontalDifference,trial
0,23.428497314453125,vp1_0_Session3_d03_b01_1
1,23.428497314453125,vp1_0_Session3_d03_b01_1
2,23.428497314453125,vp1_0_Session3_d03_b01_1
0,-8.552825927734375,vp1_1_Session3_d03_b01_2
1,-8.552825927734375,vp1_1_Session3_d03_b01_2
2,-8.552825927734375,vp1_1_Session3_d03_b01_2
0,-7.422149658203125,vp1_2_Session3_d03_b01_3
1,-7.422149658203125,vp1_2_Session3_d03_b01_3
2,-7.422149658203125,vp1_2_Session3_d03_b01_3
0,0.5330810546875,vp1_3_Session3_d03_b01_4
1,0.5330810546875,vp1_3_Session3_d03_b01_4
2,0.5330810546875,vp1_3_Session3_d03_b01_4
0,-10.67974853515625,vp1_4_Session3_d03_b01_5
1,-10.67974853515625,vp1_4_Session3_d03_b01_5
2,-10.67974853515625,vp1_4_Session3_d03_b01_5
0,-9.9088134765625,vp1_5_Session3_d03_b01_6
1,-9.9088134765625,vp1_5_Session3_d03_b01_6
2,-9.9088134765625,vp1_5_Session3_d03_b01_6
0,25.631011962890625,vp1_6_Session3_d03_b01_7
1,25.631011962890625,vp1_6_Session3_d03_b01_7
2,25.631011962890625,vp1_6_Session3_d03_b01_7
0,14.564727783203125,vp1_7_Session3_d03_b01_8
1,14.564727783203125,vp1_7_Session3_d03_b01_8
2,14.564727783203125,vp1_7_Session3_d03_b01_8
0,-17.281036376953125,vp1_8_Session3_d03_b01_9
1,-17.281036376953125,vp1_8_Session3_d03_b01_9
2,-17.281036376953125,vp1_8_Session3_d03_b01_9
0,-4.8787841796875,vp1_9_Session3_d03_b01_10
1,-4.8787841796875,vp1_9_Session3_d03_b01_10
2,-4.8787841796875,vp1_9_Session3_d03_b01_10
0,19.354400634765625,vp1_10_Session3_d03_b01_11
1,19.354400634765625,vp1_10_Session3_d03_b01_11
2,19.354400634765625,vp1_10_Session3_d03_b01_11
0,7.024200439453125,vp1_12_Session3_d03_b01_13
1,7.024200439453125,vp1_12_Session3_d03_b01_13
2,7.024200439453125,vp1_12_Session3_d03_b01_13
0,-9.592529296875,vp1_13_Session3_d03_b01_14
1,-9.592529296875,vp1_13_Session3_d03_b01_14
2,-9.592529296875,vp1_13_Session3_d03_b01_14
0,-11.0633544921875,vp1_14_Session3_d03_b01_15
1,-11.0633544921875,vp1_14_Session3_d03_b01_15
2,-11.0633544921875,vp1_14_Session3_d03_b01_15
0,-14.959564208984375,vp1_15_Session3_d03_b01_16
1,-14.959564208984375,vp1_15_Session3_d03_b01_16
2,-14.959564208984375,vp1_15_Session3_d03_b01_16
0,-3.72467041015625,vp1_16_Session3_d03_b01_17
1,-3.72467041015625,vp1_16_Session3_d03_b01_17
2,-3.72467041015625,vp1_16_Session3_d03_b01_17
0,0.10980224609375,vp1_17_Session3_d03_b01_18
1,0.10980224609375,vp1_17_Session3_d03_b01_18
2,0.10980224609375,vp1_17_Session3_d03_b01_18
0,-0.940887451171875,vp1_18_Session3_d03_b01_19
1,-0.940887451171875,vp1_18_Session3_d03_b01_19
2,-0.940887451171875,vp1_18_Session3_d03_b01_19
0,-2.39764404296875,vp1_19_Session3_d03_b01_20
1,-2.39764404296875,vp1_19_Session3_d03_b01_20
2,-2.39764404296875,vp1_19_Session3_d03_b01_20
