,horizontalDifference,trial
0,8.917999267578125,vp16_0_Session1_d01_fam01_1
1,8.917999267578125,vp16_0_Session1_d01_fam01_1
2,8.917999267578125,vp16_0_Session1_d01_fam01_1
0,-5.962860107421875,vp16_2_Session1_d01_fam01_3
1,-5.962860107421875,vp16_2_Session1_d01_fam01_3
2,-5.962860107421875,vp16_2_Session1_d01_fam01_3
0,6.038482666015625,vp16_3_Session1_d01_fam01_4
1,6.038482666015625,vp16_3_Session1_d01_fam01_4
2,6.038482666015625,vp16_3_Session1_d01_fam01_4
0,16.9007568359375,vp16_4_Session1_d01_fam01_5
1,16.9007568359375,vp16_4_Session1_d01_fam01_5
2,16.9007568359375,vp16_4_Session1_d01_fam01_5
0,5.041107177734375,vp16_5_Session1_d01_fam01_6
1,5.041107177734375,vp16_5_Session1_d01_fam01_6
2,5.041107177734375,vp16_5_Session1_d01_fam01_6
0,15.8885498046875,vp16_6_Session1_d01_fam01_7
1,15.8885498046875,vp16_6_Session1_d01_fam01_7
2,15.8885498046875,vp16_6_Session1_d01_fam01_7
0,9.06329345703125,vp16_7_Session1_d01_fam01_8
1,9.06329345703125,vp16_7_Session1_d01_fam01_8
2,9.06329345703125,vp16_7_Session1_d01_fam01_8
0,10.15240478515625,vp16_9_Session1_d01_fam01_10
1,10.15240478515625,vp16_9_Session1_d01_fam01_10
2,10.15240478515625,vp16_9_Session1_d01_fam01_10
0,15.322265625,vp16_10_Session1_d01_fam01_11
1,15.322265625,vp16_10_Session1_d01_fam01_11
2,15.322265625,vp16_10_Session1_d01_fam01_11
0,16.34735107421875,vp16_11_Session1_d01_fam01_12
1,16.34735107421875,vp16_11_Session1_d01_fam01_12
2,16.34735107421875,vp16_11_Session1_d01_fam01_12
0,10.318878173828125,vp16_12_Session1_d01_fam01_13
1,10.318878173828125,vp16_12_Session1_d01_fam01_13
2,10.318878173828125,vp16_12_Session1_d01_fam01_13
0,26.090911865234375,vp16_13_Session1_d01_fam01_14
1,26.090911865234375,vp16_13_Session1_d01_fam01_14
2,26.090911865234375,vp16_13_Session1_d01_fam01_14
0,5.675872802734375,vp16_14_Session1_d01_fam01_15
1,5.675872802734375,vp16_14_Session1_d01_fam01_15
2,5.675872802734375,vp16_14_Session1_d01_fam01_15
0,1.029693603515625,vp16_15_Session1_d01_fam01_16
1,1.029693603515625,vp16_15_Session1_d01_fam01_16
2,1.029693603515625,vp16_15_Session1_d01_fam01_16
0,9.779083251953125,vp16_16_Session1_d01_fam01_17
1,9.779083251953125,vp16_16_Session1_d01_fam01_17
2,9.779083251953125,vp16_16_Session1_d01_fam01_17
0,24.693328857421875,vp16_17_Session1_d01_fam01_18
1,24.693328857421875,vp16_17_Session1_d01_fam01_18
2,24.693328857421875,vp16_17_Session1_d01_fam01_18
0,1.6910400390625,vp16_18_Session1_d01_fam01_19
1,1.6910400390625,vp16_18_Session1_d01_fam01_19
2,1.6910400390625,vp16_18_Session1_d01_fam01_19
0,12.7315673828125,vp16_19_Session1_d01_fam01_20
1,12.7315673828125,vp16_19_Session1_d01_fam01_20
2,12.7315673828125,vp16_19_Session1_d01_fam01_20
0,9.194549560546875,vp16_20_Session1_d01_fam01_21
1,9.194549560546875,vp16_20_Session1_d01_fam01_21
2,9.194549560546875,vp16_20_Session1_d01_fam01_21
0,14.697174072265625,vp16_21_Session1_d01_fam01_22
1,14.697174072265625,vp16_21_Session1_d01_fam01_22
2,14.697174072265625,vp16_21_Session1_d01_fam01_22
0,6.59368896484375,vp16_22_Session1_d01_fam01_23
1,6.59368896484375,vp16_22_Session1_d01_fam01_23
